source,award_id,recipient,agency,program_or_title,amount,start_date,end_date,fiscal_year
USAspending.gov,U24MH068457,"RUTGERS, THE STATE UNIVERSITY",Department of Health and Human Services,COOPERATIVE AGREEMENT (B),179743190.00,2003-07-01,2026-02-28,pre-2021 active/continuing
USAspending.gov,P425F200193,"RUTGERS, THE STATE UNIVERSITY",Department of Education,FORMULA GRANT (A),157595498.00,2020-05-06,2022-06-21,pre-2021 active/continuing
USAspending.gov,P425E200365,"RUTGERS, THE STATE UNIVERSITY",Department of Education,FORMULA GRANT (A),128343367.00,2020-04-27,2022-06-21,pre-2021 active/continuing
USAspending.gov,P30CA072720,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,Department of Health and Human Services,PROJECT GRANT (B),68162976.00,1997-03-01,2029-02-28,pre-2021 active/continuing
USAspending.gov,U54AR055073,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,Department of Health and Human Services,COOPERATIVE AGREEMENT (B),63962483.00,2006-09-28,2026-08-31,pre-2021 active/continuing
USAspending.gov,U45ES006179,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,Department of Health and Human Services,COOPERATIVE AGREEMENT (B),35882327.10,1992-09-16,2025-05-31,pre-2021 active/continuing
USAspending.gov,P30ES005022,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,Department of Health and Human Services,PROJECT GRANT (B),32012790.00,1988-09-28,2029-04-30,pre-2021 active/continuing
USAspending.gov,UL1TR003017,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,Department of Health and Human Services,COOPERATIVE AGREEMENT (B),28770513.07,2020-09-25,2024-06-30,pre-2021 active/continuing
USAspending.gov,P01HL114471,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY,Department of Health and Human Services,PROJECT GRANT (B),23894687.78,2013-07-15,2025-07-31,pre-2021 active/continuing
USAspending.gov,U19AI111276,"RUTGERS, THE STATE UNIVERSITY",Department of Health and Human Services,COOPERATIVE AGREEMENT (B),23204297.71,2014-08-01,2022-07-31,pre-2021 active/continuing
